frame_idx,timestamp_unix_s,timestamp_iso_utc,realsense_frame_number,realsense_timestamp_ms,filename
94,1773244918.859738,2026-03-11T16:01:58.859738+00:00,439,1773244918793.004,rgb/frame_000094.jpg
95,1773244918.887038,2026-03-11T16:01:58.887038+00:00,440,1773244918826.379,rgb/frame_000095.jpg
96,1773244918.925531,2026-03-11T16:01:58.925531+00:00,441,1773244918859.755,rgb/frame_000096.jpg
97,1773244918.953131,2026-03-11T16:01:58.953131+00:00,442,1773244918893.130,rgb/frame_000097.jpg
98,1773244918.986484,2026-03-11T16:01:58.986484+00:00,443,1773244918926.505,rgb/frame_000098.jpg
99,1773244919.027144,2026-03-11T16:01:59.027144+00:00,444,1773244918959.880,rgb/frame_000099.jpg
100,1773244919.052213,2026-03-11T16:01:59.052213+00:00,445,1773244918993.255,rgb/frame_000100.jpg
101,1773244919.092863,2026-03-11T16:01:59.092863+00:00,446,1773244919026.632,rgb/frame_000101.jpg
102,1773244919.119599,2026-03-11T16:01:59.119599+00:00,447,1773244919060.007,rgb/frame_000102.jpg
103,1773244919.153259,2026-03-11T16:01:59.153259+00:00,448,1773244919093.382,rgb/frame_000103.jpg
104,1773244919.192756,2026-03-11T16:01:59.192756+00:00,449,1773244919126.758,rgb/frame_000104.jpg
105,1773244919.220454,2026-03-11T16:01:59.220454+00:00,450,1773244919160.133,rgb/frame_000105.jpg
106,1773244919.259985,2026-03-11T16:01:59.259985+00:00,451,1773244919193.506,rgb/frame_000106.jpg
107,1773244919.287679,2026-03-11T16:01:59.287679+00:00,452,1773244919226.878,rgb/frame_000107.jpg
108,1773244919.327231,2026-03-11T16:01:59.327231+00:00,453,1773244919260.250,rgb/frame_000108.jpg
109,1773244919.354735,2026-03-11T16:01:59.354735+00:00,454,1773244919293.622,rgb/frame_000109.jpg
110,1773244919.386846,2026-03-11T16:01:59.386846+00:00,455,1773244919326.994,rgb/frame_000110.jpg
111,1773244919.427310,2026-03-11T16:01:59.427310+00:00,456,1773244919360.365,rgb/frame_000111.jpg
112,1773244919.457057,2026-03-11T16:01:59.457057+00:00,457,1773244919393.738,rgb/frame_000112.jpg
113,1773244919.493423,2026-03-11T16:01:59.493423+00:00,458,1773244919427.110,rgb/frame_000113.jpg
114,1773244919.520943,2026-03-11T16:01:59.520943+00:00,459,1773244919460.481,rgb/frame_000114.jpg
115,1773244919.553983,2026-03-11T16:01:59.553983+00:00,460,1773244919493.854,rgb/frame_000115.jpg
116,1773244919.592482,2026-03-11T16:01:59.592482+00:00,461,1773244919527.226,rgb/frame_000116.jpg
117,1773244919.620866,2026-03-11T16:01:59.620866+00:00,462,1773244919560.597,rgb/frame_000117.jpg
118,1773244919.660571,2026-03-11T16:01:59.660571+00:00,463,1773244919593.969,rgb/frame_000118.jpg
119,1773244919.688337,2026-03-11T16:01:59.688337+00:00,464,1773244919627.342,rgb/frame_000119.jpg
120,1773244919.727123,2026-03-11T16:01:59.727123+00:00,465,1773244919660.713,rgb/frame_000120.jpg
121,1773244919.754816,2026-03-11T16:01:59.754816+00:00,466,1773244919694.085,rgb/frame_000121.jpg
122,1773244919.788036,2026-03-11T16:01:59.788036+00:00,467,1773244919727.458,rgb/frame_000122.jpg
123,1773244919.827318,2026-03-11T16:01:59.827318+00:00,468,1773244919760.831,rgb/frame_000123.jpg
124,1773244919.854882,2026-03-11T16:01:59.854882+00:00,469,1773244919794.202,rgb/frame_000124.jpg
