scan_idx,timestamp_unix_s,num_points
341,1773245612.530809,231
342,1773245612.611195,229
343,1773245612.690357,230
344,1773245612.771377,226
345,1773245612.852370,225
346,1773245612.932612,229
347,1773245613.012270,232
348,1773245613.092831,228
349,1773245613.172838,223
350,1773245613.254679,232
351,1773245613.334928,234
352,1773245613.414272,230
353,1773245613.494350,232
354,1773245613.575323,232
355,1773245613.656571,230
356,1773245613.737222,231
357,1773245613.817028,227
358,1773245613.896849,235
359,1773245613.978245,233
360,1773245614.059691,238
361,1773245614.138352,234
362,1773245614.220212,235
363,1773245614.299720,237
364,1773245614.380446,234
365,1773245614.460469,231
366,1773245614.541061,234
367,1773245614.621712,233
368,1773245614.701409,234
369,1773245614.782336,233
370,1773245614.862780,225
371,1773245614.943461,232
372,1773245615.024127,232
373,1773245615.104365,231
374,1773245615.185853,233
375,1773245615.265904,227
376,1773245615.346035,229
377,1773245615.427259,232
378,1773245615.507693,228
379,1773245615.588368,232
380,1773245615.667728,233
381,1773245615.748226,228
382,1773245615.828470,233
383,1773245615.909635,235
384,1773245615.989451,233
385,1773245616.069844,234
386,1773245616.151446,236
387,1773245616.230460,241
388,1773245616.311899,239
389,1773245616.391111,247
390,1773245616.472527,238
391,1773245616.551766,242
392,1773245616.633635,243
393,1773245616.712640,252
394,1773245616.794715,247
395,1773245616.874937,250
396,1773245616.954797,253
397,1773245617.035223,242
398,1773245617.116457,247
399,1773245617.196674,250
400,1773245617.276280,245
401,1773245617.356994,246
402,1773245617.438767,242
403,1773245617.518492,247
404,1773245617.598961,246
405,1773245617.678974,253
406,1773245617.759770,250
407,1773245617.839986,254
408,1773245617.920434,249
409,1773245618.001354,252
410,1773245618.081564,249
411,1773245618.163208,252
412,1773245618.243351,250
413,1773245618.322661,257
414,1773245618.403548,251
415,1773245618.484026,249
416,1773245618.563566,254
417,1773245618.645043,251
418,1773245618.725773,249
419,1773245618.805009,251
420,1773245618.885961,256
421,1773245618.966583,250
422,1773245619.048069,252
423,1773245619.127807,243
424,1773245619.207471,251
425,1773245619.288639,251
426,1773245619.368441,249
427,1773245619.448629,252
428,1773245619.529070,248
429,1773245619.610501,251
430,1773245619.690810,251
431,1773245619.770800,253
432,1773245619.852220,254
433,1773245619.932974,252
434,1773245620.012461,254
435,1773245620.093291,255
436,1773245620.173496,254
437,1773245620.254581,249
438,1773245620.335232,252
439,1773245620.415284,246
440,1773245620.495701,249
441,1773245620.577009,244
442,1773245620.657194,247
443,1773245620.736809,251
444,1773245620.817606,247
445,1773245620.899163,248
446,1773245620.979012,246
447,1773245621.060413,253
448,1773245621.140528,248
449,1773245621.221153,247
450,1773245621.302012,247
451,1773245621.382313,246
452,1773245621.463444,245
453,1773245621.543525,247
454,1773245621.625351,246
455,1773245621.705555,252
456,1773245621.786134,249
457,1773245621.866143,253
458,1773245621.947451,251
459,1773245622.027183,250
460,1773245622.107647,246
461,1773245622.188811,248
462,1773245622.269123,243
463,1773245622.349162,247
464,1773245622.430465,240
465,1773245622.509976,252
466,1773245622.590539,246
467,1773245622.670145,251
468,1773245622.751020,249
469,1773245622.830822,248
470,1773245622.911850,251
471,1773245622.991644,251
472,1773245623.071789,244
473,1773245623.152514,254
474,1773245623.231097,247
475,1773245623.312213,248
476,1773245623.391679,256
477,1773245623.471340,250
478,1773245623.551148,249
479,1773245623.631479,247
480,1773245623.711856,255
481,1773245623.791901,246
482,1773245623.871613,257
483,1773245623.952798,253
484,1773245624.031472,247
485,1773245624.112180,255
486,1773245624.191699,256
487,1773245624.271372,250
488,1773245624.351813,252
489,1773245624.432091,252
490,1773245624.512829,256
491,1773245624.592370,250
492,1773245624.672729,258
493,1773245624.754674,252
494,1773245624.834065,257
495,1773245624.914654,259
496,1773245624.994219,260
497,1773245625.075803,263
498,1773245625.155751,252
499,1773245625.235622,259
500,1773245625.315592,251
501,1773245625.396256,258
502,1773245625.476537,255
503,1773245625.557277,255
504,1773245625.636594,252
505,1773245625.716740,253
506,1773245625.797843,254
507,1773245625.878870,260
508,1773245625.958500,253
509,1773245626.038326,254
510,1773245626.117573,253
511,1773245626.198424,258
512,1773245626.279370,256
513,1773245626.359174,250
514,1773245626.438971,253
515,1773245626.519767,262
516,1773245626.598753,261
517,1773245626.679949,257
518,1773245626.760306,261
519,1773245626.840304,254
520,1773245626.920057,257
521,1773245627.001520,266
522,1773245627.081378,254
523,1773245627.161472,259
524,1773245627.242463,259
525,1773245627.322848,251
526,1773245627.402309,255
527,1773245627.483896,255
528,1773245627.564328,262
529,1773245627.644452,263
530,1773245627.724899,263
531,1773245627.805328,261
532,1773245627.884861,266
533,1773245627.964775,265
534,1773245628.045328,263
535,1773245628.125410,265
536,1773245628.207228,267
537,1773245628.287300,264
538,1773245628.367658,264
539,1773245628.447875,266
540,1773245628.528530,267
541,1773245628.608678,266
542,1773245628.688833,265
543,1773245628.770641,264
544,1773245628.849786,264
545,1773245628.930186,270
546,1773245629.010140,271
