frame_idx,timestamp_unix_s,timestamp_iso_utc,realsense_frame_number,realsense_timestamp_ms,filename
84,1773245587.793333,2026-03-11T16:13:07.793333+00:00,160,1773245587733.641,rgb/frame_000084.jpg
85,1773245587.842824,2026-03-11T16:13:07.842824+00:00,161,1773245587767.601,rgb/frame_000085.jpg
86,1773245587.866207,2026-03-11T16:13:07.866207+00:00,162,1773245587801.562,rgb/frame_000086.jpg
87,1773245587.896559,2026-03-11T16:13:07.896559+00:00,163,1773245587835.523,rgb/frame_000087.jpg
88,1773245587.938774,2026-03-11T16:13:07.938774+00:00,164,1773245587869.484,rgb/frame_000088.jpg
89,1773245587.962991,2026-03-11T16:13:07.962991+00:00,165,1773245587903.446,rgb/frame_000089.jpg
90,1773245588.007509,2026-03-11T16:13:08.007509+00:00,166,1773245587937.406,rgb/frame_000090.jpg
91,1773245588.030927,2026-03-11T16:13:08.030927+00:00,167,1773245587971.368,rgb/frame_000091.jpg
92,1773245588.070499,2026-03-11T16:13:08.070499+00:00,168,1773245588005.329,rgb/frame_000092.jpg
93,1773245588.099195,2026-03-11T16:13:08.099195+00:00,169,1773245588039.292,rgb/frame_000093.jpg
94,1773245588.133191,2026-03-11T16:13:08.133191+00:00,170,1773245588073.254,rgb/frame_000094.jpg
95,1773245588.172800,2026-03-11T16:13:08.172800+00:00,171,1773245588107.216,rgb/frame_000095.jpg
96,1773245588.200899,2026-03-11T16:13:08.200899+00:00,172,1773245588141.166,rgb/frame_000096.jpg
97,1773245588.240541,2026-03-11T16:13:08.240541+00:00,173,1773245588175.212,rgb/frame_000097.jpg
98,1773245588.267676,2026-03-11T16:13:08.267676+00:00,174,1773245588209.259,rgb/frame_000098.jpg
99,1773245588.302707,2026-03-11T16:13:08.302707+00:00,175,1773245588243.310,rgb/frame_000099.jpg
100,1773245588.343632,2026-03-11T16:13:08.343632+00:00,176,1773245588277.362,rgb/frame_000100.jpg
101,1773245588.370098,2026-03-11T16:13:08.370098+00:00,177,1773245588311.418,rgb/frame_000101.jpg
102,1773245588.411585,2026-03-11T16:13:08.411585+00:00,178,1773245588345.477,rgb/frame_000102.jpg
103,1773245588.437451,2026-03-11T16:13:08.437451+00:00,179,1773245588379.538,rgb/frame_000103.jpg
104,1773245588.480031,2026-03-11T16:13:08.480031+00:00,180,1773245588413.602,rgb/frame_000104.jpg
105,1773245588.506252,2026-03-11T16:13:08.506252+00:00,181,1773245588447.668,rgb/frame_000105.jpg
106,1773245588.540889,2026-03-11T16:13:08.540889+00:00,182,1773245588481.737,rgb/frame_000106.jpg
107,1773245588.579520,2026-03-11T16:13:08.579520+00:00,183,1773245588515.809,rgb/frame_000107.jpg
108,1773245588.609596,2026-03-11T16:13:08.609596+00:00,184,1773245588549.883,rgb/frame_000108.jpg
109,1773245588.653746,2026-03-11T16:13:08.653746+00:00,185,1773245588583.960,rgb/frame_000109.jpg
110,1773245588.681330,2026-03-11T16:13:08.681330+00:00,186,1773245588618.040,rgb/frame_000110.jpg
111,1773245588.715837,2026-03-11T16:13:08.715837+00:00,187,1773245588652.122,rgb/frame_000111.jpg
112,1773245588.744445,2026-03-11T16:13:08.744445+00:00,188,1773245588686.207,rgb/frame_000112.jpg
113,1773245588.777997,2026-03-11T16:13:08.777997+00:00,189,1773245588720.294,rgb/frame_000113.jpg
114,1773245588.818683,2026-03-11T16:13:08.818683+00:00,190,1773245588754.385,rgb/frame_000114.jpg
115,1773245588.845430,2026-03-11T16:13:08.845430+00:00,191,1773245588788.478,rgb/frame_000115.jpg
116,1773245588.885113,2026-03-11T16:13:08.885113+00:00,192,1773245588822.573,rgb/frame_000116.jpg
117,1773245588.914207,2026-03-11T16:13:08.914207+00:00,193,1773245588856.672,rgb/frame_000117.jpg
118,1773245588.948250,2026-03-11T16:13:08.948250+00:00,194,1773245588890.773,rgb/frame_000118.jpg
119,1773245588.994946,2026-03-11T16:13:08.994946+00:00,195,1773245588924.876,rgb/frame_000119.jpg
120,1773245589.014836,2026-03-11T16:13:09.014836+00:00,196,1773245588958.983,rgb/frame_000120.jpg
121,1773245589.057971,2026-03-11T16:13:09.057971+00:00,197,1773245588993.091,rgb/frame_000121.jpg
122,1773245589.082631,2026-03-11T16:13:09.082631+00:00,198,1773245589027.203,rgb/frame_000122.jpg
123,1773245589.123321,2026-03-11T16:13:09.123321+00:00,199,1773245589061.317,rgb/frame_000123.jpg
